Date,Open,High,Low,Close,Volume
2009-01-09,2.80502,2.81065,2.7124,2.72541,648785039
2009-01-12,2.72165,2.73889,2.63493,2.66776,730147352
2009-01-13,2.65759,2.70087,2.59847,2.63947,945000345
2009-01-14,2.59532,2.62596,2.54918,2.56804,1200553001
2009-01-15,2.42264,2.53137,2.40857,2.50938,2173610994
2009-01-16,2.53609,2.53953,2.4192,2.47745,1242617052
2009-01-20,2.46632,2.4673,2.35338,2.35338,1077227928
2009-01-21,2.39201,2.4944,2.38639,2.49293,1268602923
2009-01-22,2.64874,2.70875,2.58233,2.65829,1646617376
2009-01-23,2.6164,2.70451,2.6034,2.65829,901199147
2009-01-26,2.67466,2.73812,2.6566,2.6979,821479510
2009-01-27,2.7114,2.75537,2.70087,2.73043,723179890
2009-01-28,2.7731,2.85913,2.75358,2.83468,1022237247
2009-01-29,2.80119,2.83884,2.78631,2.79861,699880709
2009-01-30,2.78701,2.81726,2.70895,2.7124,773103987
2009-02-02,2.67858,2.76856,2.67543,2.75378,662242995
2009-02-03,2.76266,2.81065,2.71634,2.79791,691868855
2009-02-04,2.80849,2.89708,2.80139,2.81508,954418792
2009-02-05,2.7922,2.92566,2.78701,2.90398,871839358
2009-02-06,2.92025,3.01011,2.91826,3.00104,800302289
2009-02-09,3.01011,3.09989,2.99444,3.0851,842219103
2009-02-10,3.04363,3.0851,2.91995,2.94429,994719837
2009-02-11,2.90199,2.95859,2.88161,2.91345,796355298
2009-02-12,2.88358,3.00172,2.88358,2.98735,958179450
2009-02-13,2.98223,3.00794,2.95265,2.9839,719241273
2009-02-17,2.91826,2.91925,2.83716,2.84475,783774681
2009-02-18,2.86319,2.88436,2.78994,2.83983,809066415
2009-02-19,2.80849,2.83617,2.7117,2.72727,1070078217
2009-02-20,2.69338,2.78068,2.67858,2.74462,889885098
2009-02-23,2.75704,2.76856,2.60389,2.6164,892842968
2009-02-24,2.62596,2.73565,2.61799,2.71564,897109744
2009-02-25,2.70421,2.79636,2.68638,2.74334,970077258
2009-02-26,2.77183,2.79636,2.67711,2.68412,732420238
2009-02-27,2.64874,2.74717,2.63818,2.68804,834984920
2009-03-02,2.64854,2.74462,2.63818,2.64706,905936112
2009-03-03,2.68155,2.73073,2.64508,2.65859,855471131
2009-03-04,2.71288,2.79172,2.69219,2.74384,879229929
2009-03-05,2.71564,2.76493,2.66114,2.67347,836863735
2009-03-06,2.6573,2.65987,2.47745,2.56714,1198626461
2009-03-09,2.5292,2.63621,2.48534,2.50111,828736586
2009-03-10,2.55088,2.68392,2.53877,2.66677,1002015528
2009-03-11,2.7055,2.83076,2.69614,2.78876,1004476345
2009-03-12,2.79578,2.90693,2.76856,2.90023,911997775
2009-03-13,2.89886,2.92416,2.85933,2.88712,713487855
2009-03-16,2.90546,2.93028,2.8339,2.87134,946196322
2009-03-17,2.86544,3.00006,2.86101,2.99908,934500541
2009-03-18,3.00598,3.11369,3.00104,3.05436,944730477
2009-03-19,3.06836,3.10482,3.01721,3.05781,593599587
2009-03-20,3.07397,3.10265,3.02687,3.05683,825558760
2009-03-23,3.09003,3.25472,3.06194,3.24053,790861585
2009-03-24,3.19352,3.29373,3.17184,3.20505,760406333
2009-03-25,3.23551,3.26063,3.12571,3.20485,767402525
2009-03-26,3.24812,3.30951,3.23796,3.30645,731061317
2009-03-27,3.26554,3.26594,3.20208,3.21499,584929656
2009-03-30,3.13292,3.16031,3.08787,3.14422,596471998
2009-03-31,3.17548,3.23401,3.15981,3.16346,675826852
2009-04-01,3.13144,3.28042,3.12641,3.2706,698346439
2009-04-02,3.31147,3.45357,3.30399,3.3921,961384175
2009-04-03,3.42778,3.49498,3.41633,3.49064,751466889
2009-04-06,3.45939,3.57391,3.40914,3.56456,779288702
2009-04-07,3.50376,3.51115,3.43614,3.46077,635601952
2009-04-08,3.46767,3.51439,3.44837,3.5007,539995851
2009-04-09,3.56456,3.61147,3.54978,3.59787,628955684
2009-04-13,3.61147,3.64055,3.58181,3.61807,461637003
2009-04-14,3.59708,3.61678,3.52839,3.56014,538809972
2009-04-15,3.5211,3.55864,3.48354,3.54001,489681694
2009-04-16,3.58772,3.70716,3.5752,3.65493,702787454
2009-04-17,3.64251,3.73868,3.61905,3.71516,590206643
2009-04-20,3.66458,3.70163,3.58634,3.62625,553450393
2009-04-21,3.58013,3.67483,3.5689,3.66458,556999517
2009-04-22,3.68982,3.7721,3.64774,3.65679,1095000588
2009-04-23,3.81171,3.82848,3.7169,3.77377,1119193491
2009-04-24,3.74676,3.7656,3.70124,3.72825,641062248
2009-04-27,3.6979,3.76156,3.69199,3.75368,570225669
2009-04-28,3.71218,3.79821,3.71,3.72825,539865123
2009-04-29,3.75713,3.81782,3.72598,3.7656,543311920
2009-04-30,3.80344,3.82247,3.75929,3.78611,590895636
2009-05-01,3.78611,3.85015,3.78531,3.82945,471670937
2009-05-04,3.85745,3.97985,3.84196,3.97431,723434222
2009-05-05,3.96516,3.99806,3.94573,3.99316,472367349
2009-05-06,4.0174,4.01786,3.91874,3.98745,561828181
2009-05-07,3.97501,3.98448,3.84848,3.88434,629500541
2009-05-08,3.88504,3.94921,3.79998,3.88802,555289167
2009-05-11,3.83035,3.94033,3.82582,3.89934,480051055
2009-05-12,3.90318,3.90318,3.7097,3.74443,720457315
2009-05-13,3.70637,3.7315,3.59174,3.59522,704014453
2009-05-14,3.60388,3.7173,3.602,3.70056,528984419
2009-05-15,3.67503,3.75044,3.65976,3.68372,435133945
2009-05-18,3.72628,3.8135,3.65838,3.81171,542824209
2009-05-19,3.81763,3.89174,3.78382,3.83546,440961273
2009-05-20,3.84474,3.88878,3.77043,3.78749,460390774
2009-05-21,3.76156,3.81567,3.69879,3.73663,483481686
2009-05-22,3.73346,3.73663,3.66418,3.68635,353627499
2009-05-26,3.75693,3.93726,3.74844,3.93569,751069593
2009-05-27,3.96516,4.06203,3.93895,4.0033,766990415
2009-05-28,4.01786,4.07484,3.97334,4.06499,576935656
2009-05-29,4.07533,4.08983,4.02814,4.08688,541232604
2009-06-01,4.10323,4.21262,4.09278,4.19438,534858776
2009-06-02,4.18266,4.25439,4.16235,4.19863,538043811
2009-06-03,4.2154,4.24719,4.18513,4.2418,667666658
2009-06-04,4.21588,4.33927,4.2142,4.32585,648604293
2009-06-05,4.37919,4.40559,4.31008,4.35336,749868976
2009-06-08,4.33069,4.34074,4.19666,4.32901,1103778386
2009-06-09,4.32802,4.35019,4.22907,4.29541,801598568
2009-06-10,4.27284,4.28316,4.16089,4.22001,816234878
2009-06-11,4.20256,4.26003,4.16867,4.21162,622029170
2009-06-12,4.17883,4.18611,4.09417,4.12206,666758265
2009-06-15,4.09198,4.12086,4.0591,4.09536,640271559
2009-06-16,4.11121,4.16602,4.09585,4.10245,606403496
2009-06-17,4.11399,4.13714,4.04794,4.08028,677037978
2009-06-18,4.09278,4.15301,4.08058,4.08914,504971803
2009-06-19,4.15476,4.19902,4.11989,4.19834,854421924
2009-06-22,4.23163,4.26003,4.10205,4.13436,751343279
2009-06-23,4.10303,4.12166,3.99886,4.03246,836692988
2009-06-24,4.07632,4.13851,4.0579,4.0988,574668148
2009-06-25,4.08688,4.21822,4.06952,4.20907,698043142
2009-06-26,4.20593,4.32023,4.20593,4.28635,520279639
2009-06-29,4.3168,4.33217,4.25943,4.27204,673407071
2009-06-30,4.29325,4.32752,4.26712,4.28615,514998322
2009-07-01,4.31895,4.35336,4.28841,4.29825,491330398
2009-07-02,4.25371,4.29825,4.2072,4.21362,438561934
